1	-44.3268
2	-41.4720
3	-39.6487
4	-38.6420
5	-40.6046
6	-40.6738
7	-39.6541
8	-36.5784
9	-41.3944
10	-39.6749
11	-38.7601
12	-39.5296
13	-37.7060
14	-41.4720
15	-37.4122
16	-41.3944
17	-38.6529
18	-37.8330
19	-34.0719
20	-36.2844
21	-38.6775
22	-38.5711
23	-36.8260
24	-39.0628
25	-41.4720
26	-37.5036
27	-37.4394
28	-34.9518
29	-44.3268
30	-39.5400
31	-37.3836
32	-38.5263
33	-41.4446
34	-38.6420
35	-38.5005
36	-35.3407
37	-39.5630
38	-40.0751
39	-38.2886
40	-40.4333
41	-36.6397
42	-40.4333
43	-37.5735
44	-37.9741
45	-44.3268
46	-41.4446
47	-40.7285
48	-39.7059
49	-38.8724
50	-36.2431
